time [dec. year], range [m], range-rate [m/s]
2024.1420889623, 180553.406283, 0.387424
2024.1420889939, 180553.793806, 0.387621
2024.1420890255, 180554.181525, 0.387817
2024.1420890571, 180554.569440, 0.388012
2024.1420890887, 180554.957549, 0.388206
2024.1420891204, 180555.345851, 0.388398
2024.1420891520, 180555.734345, 0.388590
2024.1420891836, 180556.123030, 0.388780
2024.1420892152, 180556.511905, 0.388970
2024.1420892469, 180556.900969, 0.389158
2024.1420892785, 180557.290221, 0.389345
2024.1420893101, 180557.679659, 0.389532
2024.1420893417, 180558.069284, 0.389717
2024.1420893734, 180558.459092, 0.389901
2024.1420894050, 180558.849085, 0.390084
2024.1420894366, 180559.239259, 0.390266
2024.1420894682, 180559.629616, 0.390446
2024.1420894998, 180560.020152, 0.390626
2024.1420895315, 180560.410867, 0.390805
2024.1420895631, 180560.801761, 0.390982
2024.1420895947, 180561.192832, 0.391159
2024.1420896263, 180561.584078, 0.391334
2024.1420896580, 180561.975500, 0.391508
2024.1420896896, 180562.367095, 0.391682
2024.1420897212, 180562.758863, 0.391854
2024.1420897528, 180563.150802, 0.392025
2024.1420897845, 180563.542912, 0.392195
2024.1420898161, 180563.935191, 0.392363
2024.1420898477, 180564.327638, 0.392531
2024.1420898793, 180564.720253, 0.392698
2024.1420899109, 180565.113033, 0.392863
2024.1420899426, 180565.505979, 0.393028
2024.1420899742, 180565.899088, 0.393191
2024.1420900058, 180566.292360, 0.393353
2024.1420900374, 180566.685794, 0.393514
2024.1420900691, 180567.079388, 0.393674
2024.1420901007, 180567.473141, 0.393833
2024.1420901323, 180567.867053, 0.393991
2024.1420901639, 180568.261122, 0.394147
2024.1420901956, 180568.655347, 0.394303
2024.1420902272, 180569.049727, 0.394457
2024.1420902588, 180569.444260, 0.394610
2024.1420902904, 180569.838946, 0.394762
2024.1420903221, 180570.233784, 0.394913
2024.1420903537, 180570.628772, 0.395063
2024.1420903853, 180571.023910, 0.395212
2024.1420904169, 180571.419195, 0.395359
2024.1420904485, 180571.814628, 0.395506
2024.1420904802, 180572.210206, 0.395651
2024.1420905118, 180572.605930, 0.395795
2024.1420905434, 180573.001797, 0.395938
2024.1420905750, 180573.397806, 0.396080
2024.1420906067, 180573.793956, 0.396221
2024.1420906383, 180574.190247, 0.396361
2024.1420906699, 180574.586677, 0.396499
2024.1420907015, 180574.983245, 0.396637
2024.1420907332, 180575.379950, 0.396773
2024.1420907648, 180575.776790, 0.396908
2024.1420907964, 180576.173765, 0.397042
2024.1420908280, 180576.570873, 0.397175
2024.1420908596, 180576.968114, 0.397306
2024.1420908913, 180577.365486, 0.397437
2024.1420909229, 180577.762987, 0.397566
2024.1420909545, 180578.160618, 0.397695
2024.1420909861, 180578.558376, 0.397822
2024.1420910178, 180578.956261, 0.397948
2024.1420910494, 180579.354272, 0.398073
2024.1420910810, 180579.752407, 0.398197
2024.1420911126, 180580.150665, 0.398319
2024.1420911443, 180580.549045, 0.398441
2024.1420911759, 180580.947546, 0.398561
2024.1420912075, 180581.346167, 0.398680
2024.1420912391, 180581.744906, 0.398799
2024.1420912707, 180582.143763, 0.398916
2024.1420913024, 180582.542737, 0.399031
2024.1420913340, 180582.941826, 0.399146
2024.1420913656, 180583.341029, 0.399260
2024.1420913972, 180583.740346, 0.399372
2024.1420914289, 180584.139774, 0.399484
2024.1420914605, 180584.539313, 0.399594
2024.1420914921, 180584.938962, 0.399703
2024.1420915237, 180585.338720, 0.399812
2024.1420915554, 180585.738585, 0.399918
2024.1420915870, 180586.138556, 0.400024
2024.1420916186, 180586.538633, 0.400129
2024.1420916502, 180586.938814, 0.400233
2024.1420916818, 180587.339098, 0.400335
2024.1420917135, 180587.739485, 0.400437
2024.1420917451, 180588.139972, 0.400537
2024.1420917767, 180588.540558, 0.400636
2024.1420918083, 180588.941244, 0.400734
2024.1420918400, 180589.342027, 0.400831
2024.1420918716, 180589.742906, 0.400927
2024.1420919032, 180590.143881, 0.401022
2024.1420919348, 180590.544950, 0.401116
2024.1420919665, 180590.946113, 0.401209
2024.1420919981, 180591.347367, 0.401300
2024.1420920297, 180591.748712, 0.401390
2024.1420920613, 180592.150148, 0.401480
2024.1420920929, 180592.551672, 0.401568
2024.1420921246, 180592.953283, 0.401655
2024.1420921562, 180593.354981, 0.401741
2024.1420921878, 180593.756765, 0.401826
2024.1420922194, 180594.158633, 0.401910
2024.1420922511, 180594.560585, 0.401993
2024.1420922827, 180594.962618, 0.402074
2024.1420923143, 180595.364733, 0.402155
2024.1420923459, 180595.766927, 0.402234
2024.1420923776, 180596.169201, 0.402312
2024.1420924092, 180596.571552, 0.402390
2024.1420924408, 180596.973980, 0.402466
2024.1420924724, 180597.376483, 0.402541
2024.1420925040, 180597.779061, 0.402615
2024.1420925357, 180598.181712, 0.402688
2024.1420925673, 180598.584436, 0.402759
2024.1420925989, 180598.987231, 0.402830
2024.1420926305, 180599.390095, 0.402899
2024.1420926622, 180599.793029, 0.402968
2024.1420926938, 180600.196031, 0.403035
2024.1420927254, 180600.599099, 0.403101
2024.1420927570, 180601.002233, 0.403167
2024.1420927887, 180601.405432, 0.403231
2024.1420928203, 180601.808694, 0.403294
2024.1420928519, 180602.212019, 0.403355
2024.1420928835, 180602.615404, 0.403416
2024.1420929151, 180603.018851, 0.403476
2024.1420929468, 180603.422356, 0.403534
2024.1420929784, 180603.825919, 0.403592
2024.1420930100, 180604.229539, 0.403648
2024.1420930416, 180604.633215, 0.403704
2024.1420930733, 180605.036946, 0.403758
2024.1420931049, 180605.440731, 0.403811
2024.1420931365, 180605.844568, 0.403863
2024.1420931681, 180606.248457, 0.403914
2024.1420931998, 180606.652396, 0.403964
2024.1420932314, 180607.056385, 0.404013
2024.1420932630, 180607.460422, 0.404061
2024.1420932946, 180607.864506, 0.404108
2024.1420933262, 180608.268637, 0.404153
2024.1420933579, 180608.672813, 0.404198
2024.1420933895, 180609.077033, 0.404242
2024.1420934211, 180609.481296, 0.404284
2024.1420934527, 180609.885602, 0.404326
2024.1420934844, 180610.289948, 0.404367
2024.1420935160, 180610.694334, 0.404406
2024.1420935476, 180611.098760, 0.404445
2024.1420935792, 180611.503223, 0.404482
2024.1420936109, 180611.907723, 0.404519
2024.1420936425, 180612.312260, 0.404554
2024.1420936741, 180612.716831, 0.404588
2024.1420937057, 180613.121436, 0.404622
2024.1420937374, 180613.526075, 0.404654
2024.1420937690, 180613.930745, 0.404686
2024.1420938006, 180614.335446, 0.404716
2024.1420938322, 180614.740177, 0.404746
2024.1420938638, 180615.144938, 0.404775
2024.1420938955, 180615.549726, 0.404802
2024.1420939271, 180615.954541, 0.404829
2024.1420939587, 180616.359383, 0.404854
2024.1420939903, 180616.764250, 0.404879
2024.1420940220, 180617.169141, 0.404903
2024.1420940536, 180617.574056, 0.404926
